page#	line#	song	artist	title of record	year 	type	side/#	genre	
1	36	A good year for the roses	George Jones	Country's greatest hits vol. 4	1989	Cd.4x	409	country	
1	37	A good year for the roses	George Jones	The Country Superstars	0	CD.	114	Country	
1	38	A happy guy	Rick Nelson	Singles 1963-1974	1977	LP.	109	Pop	
1	39	A house without love is not…	Gene Pitney	Hits 20 greatest hits 	0	LP.	104	country	
1	40	A house without love is not…	George Jones	15 Golden classics vol.1	0	LP.	104	Country	
1	41	A legend in my time	Ronnie Milsap	24 Original no.1 Country hits	1978	LP. 2x	103	Country	
1	42	A letter to my heart	Jim Reeves	Have I told you lately that…	0	LP	203	country	
1	43	A little bit more	DR Hook	Country life	1979	LP.	103	Country	
1	44	A little bit of soap	The Jarmels	1950's Rock & Roll collection	0	LP.	209	Rock and Roll	
1	45	A lot of livin' to do	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr4	0		411	Instr.Pop.50-6	
1	46	A lover question	Clyde McPhatter	1950's Rock & Roll collection	0	LP.	309	Rock and Roll	
1	47	A man can cry	Freddy Fender	20 Greatest hits	0	LP	106	country	
1	48	A mess of blues	Elvis Presley	Blues rythms	0	LP 2x	103	Blue rythms	
1	49	A mi esposa con amor	Sonny James	The best of country	1975	LP.	204	country	
1	50	A mighty fortress is our love	John Wesley Ryles	The great country love songs	1972	LP. 6x	304	country	
2	51	A moment is'nt very long	Faron Young	Kind of Country	1987	CD.	113	country	
2	52	A nickel for the fiddler	The Everly Brothers	Pas the chicken  and listen	1072	LP	205	country	
2	53	A nickel for the fiddler	The Everly Brothers	Takeof-the 70's	1979	LP	103	Pop	
2	54	A place in the shade	Dean Martin	Welcome to my world	0	LP	203	country	
2	55	A poor man's roses	Patsy Cline	Unforgettable Patsy Cline	1990	CD	115	country	
2	56	A satisfied mind	Cowboy Copas	20 Country legends	0	LP.	206	country	
2	57	A song was born	Papa Bue's Viking Jazzband	Down by the riverside	1989	CD.	113	Jazz	
2	58	A stranger in my arms	Patsy Cline	16 greatest hits	1988	CD	110	country	
2	59	A stranger in my arms	Patsy Cline	Unforgettable Patsy Cline	1990	CD	105	country	
2	60	A taste of honey	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr7	0	CD	708	Instr.Pop.50-6	
2	61	A thing called love	Jerry Reed	Nashville Stars forever	1976	LP. 2x	304	country	
2	62	A thing called love	Lloyd Lester	Easy feeling	0	CD.	118	Pop	
2	63	A voice within 	The Everly Brothers	The E.B. sing	1967	LP	102	country	
2	64	A white sports Coast	Marty Robbins	50 Golden country hits	1988	CD. 2x	221	country	
2	65	A whiter shade pale	The Everly Brothers	The E.B. sing	1967	LP	205	country	
2	66	A whiter shade pale	The Everly Brothers	E.B. Story	1972	LP	301	Pop	
2	67	A winter's tale	Vicki Brown	About love and live	1990	CD.	101	Pop	
2	68	A woman and a man	Phil Everly	Phil Everly	1983	LP	202	Pop	
2	69	A wonder if I care as much	The Everly Brothers	End of an era	1970	LP	105	country	
2	70	A world I can't live in	Roy Drusky	The great country love songs	1972	LP.6x	404	Country	
2	71	A world with living in	Slim Whitman	Tomorrow never comes	0	LP.	203	Country	
2	72	Abandoned love	The Everly Brothers	Born yesterday	1985	CD	109	country	
2	73	Abandoned love	The Everly Brothers	Born yesterday	1985	LP.	203	Pop	
2	74	Abilene	George Hamilton IV	Nashville Stars forever	1976	LP. 2x	306	country	
2	75	Above and beyond	ARTIST NOT KNOWN	Country hits	1975	LP. 2x	206	Country	
2	76	Accidentally on purpose	George Jones	Tender Years	1989	CD	118	country	
2	77	Ace in the hole	Frankie Laing	I'm gonna live 'till I die	0	LP	202	country	
2	78	Ace in the hole	Frankie Laing	The roving gambler	0	LP	101	country	
2	79	Acorn in the meadow	Harry Belafonte	Harry Belafonte	1976	LP	203	Folk songs	
2	80	Act naturally	Buck Owens	Country hits	1975	LP. 2x	401	country	
2	81	Adelite	Los Andes	South American Music	0	LP.	205	Latin American	
2	82	Adios Amigo	Jim Reeves	Nashville Stars forever	1976	LP. 2x	101	country	
2	83	Adios Amigo	Jim Reeves	50 Golden country hits	1988	CD. 2x	116	Country	
2	84	Afraid	Sue Thompson	Golden hits	0	LP.	206	Pop	
2	85	After a While	Jim Reeves	He'll have to go	0		205	Country	
2	86	After the lovin'	Barbra Mandell	The country collection	1985	CD	107	Country	
2	87	Ah Nastascha	Ivan Petrov	De beroemdste Russische	0	LP.	205	Russian folk S	
2	88	Ain't misbehavin'	Johnny Ray	20 Golden greats	1979	LP.	107	Pop	
2	89	Ain't misbehavin'	Papa Bue's Viking Jazzband	Down by the riverside	1989	CD.	108	Jazz	
2	90	Ain't no money	Billie Jo Spears	Midnight love	1987	CD	112	country	
2	91	Ain't that a shame	Pat Boone	C'mon everybody	1988	CD.	111	Rock and Roll	
2	92	Ain't that loving you baby	The Everly Brothers	Star collection	1973	LP	206	Pop	
2	93	Ain't that loving you baby	Elvis Presley	Blue rythms	0	LP 2x	205	Blue rythms	
2	94	Aiofe	Flairck	Flairck alive	1990	CD.	203	Pop	
2	95	Al lado del sol	Malando	Malando plays malando	0	LP.	205	Tango	
2	96	Alabam	Gey Mitchel	Traveling shoes	1952	LP.	201	country	
2	97	Alabam	Cowboy Copas	20 Country and western hits	0	LP.	110	country	
2	98	Alabam	Cowboy Copas	Country music Cav Memory Lane	1980	LP. 3x	303	country	
2	99	Alexander's ragtime band	Johnny Ray	The best of Johnnie Ray	1966		105	Pop	
3	100	All I have to do is dream	The Everly Brothers	Yesterdays gold Vol. 1	1987	CD	114	rock & roll	
3	101	All I have to do is dream	Billie Jo Spears	The very best of Billie J.Sp.	1986	LP	201	country	
3	102	All I have to do is dream	The Everly Brothers	So many years	1989	CD 2x	101	Pop	
3	103	All I have to do is dream	The Everly Brothers	Star collection	1973	LP	106	Pop	
3	104	All I have to do is dream	The Everly Brothers	The very best of E.B.	0	LP	202	Pop	
3	105	All I have to do is dream	The Everly Brothers	Original greatest hits	1970	LP 2x	305	Pop	
3	106	All I have to do is dream	The Everly Brothers	The E.B. Reunion Concert	1983	LP 2x	303	Pop	
3	107	All I have to do is dream	Glen Campbell & Bobbie Gentry	Country gold	0	LP.	201	Country	
3	108	All I have to do is dream	The Everly Brothers	Great rock & roll love songs	1983	LP.	101	Rock and Roll	
3	109	All I have to do is dream	The Everly Brothers	The Country Superstars	0	CD.	110	Country	
3	110	All I have to do is dream	The Everly Brothers	The most beautiful lovesongs	0	CD.	118	Pop	
3	111	All I want is you	Bryan Adams	Waking up the neighbours	1991	CD.	110	Pop	
3	112	All alone	Lloyd Price	Walkin' the track	1986	LP.	203	Rock and Roll	
3	113	All alone am I	Timi Yuro	Timi Yuro collection	1990	CD	112	country	
3	114	All alone am I	Brenda Lee	The best of Brenda Lee	1982	LP	102	Pop	
3	115	All alone am I	Brenda Lee	The very best of Brenda Lee	1985	CD.	116	Pop	
3	116	All around the world	Little Richard	20 Greatest hits	0	LP	204	Rock and Roll	
3	117	All for the love of a girl	Jim Rodgers	The great country love songs	1972	LP. 6x	604	country	
3	118	All of me	Johnny Ray	The best of Johnnie Ray	1966		204	Pop	
3	119	All the good times are dead…	Dave Kelsey & the Countrymen	15 Country and Westerns hits	1971	LP.	101	Country	
3	120	All the good times are dead…	Dave Kelsey & the Countrymen	16 Great Country & Westernhits	1971	LP.	101	country	
3	121	All the time	Ann Murray	Both sides now	0	LP	103	country	
3	122	All the time	Anne Murray	Kind of Country	1987	CD.	108	country	
3	123	All the time	Anne Murray	Country fare	1988	CD.	114	country	
3	124	All we really want to do	The Everly Brothers	Takeof-the 70's	1979	LP	101	Pop	
3	125	All we really want to do	The Everly Brothers	Storries we could tell	1972	LP	101	country	
3	126	Alleghanny moon	Patty Page	40 Golden country hits	0	LP. 2x	402	country	
3	127	Alleghanny moon	Patti Page	Great rock & roll love songs	1983	LP.	104	Rock and Roll	
3	128	Alley Oop	Holywood Arygles	Rock rules Rock	1977	LP.3x	304	Rock and Roll	
3	129	Alley cat	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr7	0		705	Instr.Pop.50-6	
3	130	Alligator man	Jimmy C. Newman	Country's greatest hits vol. 1	1989	CD. 4x	103	Country	
3	131	Almost a memory	Vicki Brown & Gordon Neville	The young Verdi	1988	CD.	107	Pop.Klassiek	
3	132	Almost persuaded	Freddy Fender	20 Greatest hits	0	LP	104	Country	
3	133	Almost persuaded	Tammy Wynette	The best of Tammy Wynette	1968	LP.	106	country	
3	134	Almost persuaded	David Houston	The great country love songs	1972	LP. 6x	902	Country	
3	135	Almost persuaded	David Houston	Country mus.Cav.Country roads	1980	LP. 3x	105	country	
3	136	Along come Jones	The Coasters	Rock Revival	1978	LP. 2x	305	Rock and Roll	
3	137	Alpha	Ed Starink	The eve of the war	1989	CD.	111	Synthesizer	
3	138	Always drive a cadillac	The Everly Brothers	Born yesterday	1985	CD	111	Pop	
3	139	Always drive a cadillac	The Everly Brothers	Born yesterday	1985	LP.	205	Pop	
3	140	"Always it,s you"	The Everly Brothers	Star collection	1973	LP	103	Pop	
3	141	Am Abent auf der Heide	The Everly Brothers	In German and Italy	1986	LP	101	Pop	
3	142	Am I losing you	Jim Reeves	50 Golden country hits	1988	CD. 2x	102	Country	
3	143	Am I that easy to forget?	Skeeter Davis 	20 Country hits	1976	LP.	204	country	
3	144	Am I that easy to forget?	Skeeter Davis 	40 Golden country hits	0	LP. 2x	303	Country	
3	145	Am I that easy to forget?	Carl Below	20 Country legends	0	LP.	207	country	
3	146	Am I that easy to forget?	Skeeter Davis	Country sunset	1989	CD.	108	country	
3	147	Am plecat sa colindam	Der Rumanische Armeechoir	Der Rumanische Armeechoir	0	LP.	208	Folk songs	
3	148	Amanda Ruth	The Everly Brothers	Born yesterday	1985	CD	101		
3	149	Amanda Ruth	The Everly Brothers	Born yesterday	1985	LP.	101		
3	150	Among my souvenirs	Connie Francis	Connie's greatest hits	0	LP	206	pop	
3	151	Amsterdam	Jaques Brel	Jaques Brel zingt………..	1976	LP	206	Cansons	
3	152	Ana Lugojana	Der Rumanische Armeechoir	Eer Rumanische Armeechoir	0	LP.	101	Folk songs	
3	153	And so will you my love	Willie Nelson	Country classics	1984	LP.	203	country	
3	154	Adante poco a poco presto….	Flairck	Flairck alive	1990	CD.	109	Pop	
3	155	Angel of love	The Majestics	1950's Rock & Roll collection	0	LP.	704	Rock and Roll	
3	156	Angel of the darkness	The Everly Brothers	Some hearts	1988	CD	106	Pop	
3	157	Angelina	Harry Belafonte	Golden records	0	LP	102	Folk songs	
3	158	Angelina	Louis Prima	Rock and Roll classics	0	LP.	103	Rock and Roll	
3	159	Angels in the sky	The Crewcuts	1950's Rock & Roll collection	0	LP.	604	Rock and Roll	
3	160	Annchen von Tharau	Der Rumanische Armeechoir	Der Rumanische Armeechoir	0	LP.	105	Folk songs	
3	161	Anoche	Malando	Malando plays malando	0	LP.	102	Tango	
3	162	Anoranze	Malando	Malando plays malando	0	LP.	204	Tango	
3	163	Another	Roy Drusky	Country's greatest hits vol.1	1989	CD. 4x	105	country	
3	164	Another place I can't go	Charly Rich	Hall of fame	1975	LP.	203	country	
3	165	Another sleepless night	Jimmy Clanton	Country music Calv. U.S.A.	1980	LP. 3x	303	country	
3	166	Anthem for the world	The New London Chorale	The young Verdi	1988	CD.	112	Pop.Klassiek	
3	167	Anticipation blues	Tennessee Ernie Ford	Country hits	1975	LP. 2x	101	country	
3	168	Any old arms won't do	Willie Nelson	Country's greatest hits vol.1	1989	CD. 4x	113	country	
3	169	Any old wind that blows	Billie Jo Spears	Standing tall	1980	LP	205	country	
3	170	Any single solitery heart	The Everly Brothers	Some hearts	1988	CD	110	Pop	
3	171	Any time	Eddie Fisher	40 Golden hits of the Fifties	0	LP. 4x	105	Pop	
3	172	Anyone who had a heart	Dusty Springfield	You don't have to say……..	1969	LP	202	Pop	
3	173	Anyone who had a heart	Dionne Warwicke	The Giants of Rock	0	LP.	102	Rock and Roll	
3	174	Anyway you want me	Little Richard	Little Richard's greatest hits	1967	LP.	205	Rock and Roll	
3	175	Apartment H9	Tammy Wynette	The best of Tammy Wynette	1968	LP.	202	country	
3	176	Apartment no 9	Bobby Austin	Country hits	1975	LP. 2x	307	Country	
3	177	Apartment no.9	Billie Jo Spears	Ode to Billie Jo	1985	LP	206	country	
3	178	Applejack	Dolly Parton	Both sides now	1978	LP	104	Country	
3	179	April love 	Pat Boone	20 Love classics part I	1988	CD	110	pop	
3	180	Archie	The Merrymen	Big bamboo	1989	CD	105	Pop	
3	181	Are you lonesome tonight	Elvis Presley	20 Love classics part I I	1988	CD	101	Pop	
3	182	Are you lonesome tonight	Elvis Presley	Love songs	1981	LP	203	Pop	
3	183	Are you sure	The Allisons	Golden super oldies	1986	LP. 3x	102	Pop	
3	184	Are you sure Hank done it th…	Waylon Jennings	24 Original no.1 Country hits	1978	LP. 2x	204	Country	
3	185	Are you sure Hank done it th…	Waylon Jennings	Country sunset	1989	CD.	112	Country	
3	186	Aria	Der Rumanische Armeechoir	Der Rumanische Armeechoir	0	LP.	107	Folksongs	
3	187	Arms of Mary	The Everly Brothers	Born yesterday	1985	CD	105	Pop	
3	188	Arms of Mary	The Everly Brothers	Born yesterday	1985	LP.	105	Pop	
3	189	Arrividerci Roma	Earl Bostic	All his hits	1977	LP	205	Blues	
3	190	As time goes by	"Instrumentaal, orkest=onbekend"	The libely Years-'50s&'60s Nr5	0		501	Instr.Pop.50-6	
3	191	As usual	Brenda Lee	The best of Brenda Lee	1982	LP	206	POP	
3	192	Asleep	The Everly Brothers	EB '84	1984	CD	110	Pop	
3	193	Answer me 	Frankie Laine	20 Country classics	1988	CD.	103	Country	
3	194	At the hop	Danny & The Juniors	Juke-Box Hits	1988	CD.	103	Pop.Klassiek	
3	195	Auctioneer	Leroy van Oyke	20 Country and western hits	0	LP.	207	country	
3	196	Aura Lee	Connie Francis	Sings folk favorites	0	LP	105	Country	
3	197	Austin prison	Johnny Cash	20 Star studded country hits	0	LP.	201	country	
3	198	Autumn leaves	The Everly Brothers	Instant party	1962	LP	204	Pop	
3	199	Autumn leaves	"Instrumentaal, orkest=onbekend"	The libely Years-'50s&'60s Nr1	0	LP. 7x	201	Instr.Pop.50-6	
3	200	Ave verus corpus	New London Chorale	The young Amadeus Mozart	1986	CD.	106	Pop.Klassiek	
3	201	Away in a manger	The Everly Brothers	Christmas with The Everly's	0	LP	101	Christmas song	
3	202	Az der rabbe singt	Miriam Zairi	Live	0	LP	107	Folksongs	
3	203	Babaloo's wedding day	The Eternels	The Giants of Rock	0	LP.	107	Rock and Roll	
3	204	Baby I lied	Daborah Allen	Country sunset	1989	CD.	105	Country	
3	205	Baby I want to love you	Freddy Fender	20 Greatest hits	0	LP	209	Country	
3	206	Baby don't go	The Supremes	The very first album	1969	LP.	103	Pop	
3	207	Baby face	Little Richard	20 Greatest hits	0	LP	205	Rock and Roll	
3	208	Baby oh baby	The Shells	1950's Rock & Roll collection	0	LP.	701	Rock and Roll	
3	209	Baby on my mind	Billie Jo Spears	Midnight love	1987	CD	104	Country	
3	210	Baby what you want me to do	The Everly Brothers	E.B. Story	1972	LP	405	Pop	
3	211	Baby what you want me to do	Elvis Presley	Blue rythms	0	LP 2x	305	Blue rythms	
3	212	"Baby, Come home"	Lloyd Price	The specialty story	1972	LP.	103	Rock and Roll	
3	213	"Baby, walk on in"	The Shells	1950's Rock & Roll collection	0	LP.	804	Rock and Roll	
3	214	Baby-box tango	Malando	Malando plays malando	0	LP.	201	Tango	
3	215	Back in baby's arms	Patsy Cline	A tribute to Patsy Cline	1963	LP.	104	country	
3	216	Back when the bands played….	Phil Everly	Mistic line	1975	LP	204	Pop	
3	217	Bad bad boy	Nazareth	Greatest hits	1975	LP.	106	Pop	
3	218	Baiti al mul Golan	Miriam Zairi	Live	0	LP	202	Folksongs	
3	219	Ballad of a Teenage Queen	Johnny Cash	50 Golden country hits	1988	CD. 2x	216	Country	
3	220	Ballad of a boy and girl	The Graduates	1950's Rock & Roll collection	0	LP.	106	Rock and Roll	
3	221	Ballerina	Vaughn Monroe	40 Golden hits of the Fifties	0	LP. 4x	101	Pop	
3	222	Bame lama bama loo	Little Richard	20 Greatest hits	0	LP	104	Rock and Roll	
3	223	Bamboleo	Los Paraquayos	Easy feeling	0	CD.	104	Pop	
3	224	Bamboo	Johnny and the Hurricanes	The very best of……………	1975	LP.	206	Rock and Roll	
3	225	Banana boat	Harry Belafonte	Golden records	0	LP	101	Folk songs	
3	226	Banana boat	Harry Belafonte	40 Golden hits of the Fifties	0	LP. 4x	107	Pop	
3	227	Banks of the Ohio	Olivia Newton John	Country life	1979	LP.	204	country	
3	228	Banks of the Ohio	The Dickson Brothers	Country and western songs	0	LP.	102	Country	
3	229	Baracole in der Nacht	Connie Francis	Connie Francis	0	LP	102	pop	
3	230	Barbra Allen	The Everly Brothers	So many years	1989	CD 2x	208	Pop	
3	231	Barbra Allen	The Everly Brothers	End of an era	1970	LP 2x	204	Country	
3	232	Barbara Allen	The Everly Brothers	Do you love me	0	LP. 2x	203	Pop	
3	233	Barbara Ann	Regents	Juke-Box Hits	1988	CD. 2x	212	Pop	
3	234	Bargain story	Dolly Parton	Both sides now	1978	LP	102	country	
3	235	Barnyard rock	Lloyd Price	Walkin' the track	1986	LP.	201	Rock and Roll	
3	236	Battle of New Orleans	Lonnie Donegan	The greatest hits of………..	1976	LP.	201	Pop	
3	237	Be my baby	The Ronettes	20 Love classics part II	1988	CD	110	pop	
3	238	Be my life's companion	Rosemary Clooney	16 Most raquested songs	1989	CD	104	Pop	
3	239	Be my love	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr6	0		605	Instr.Pop.50-6	
3	240	Be my love again	The Everly Brothers	Some hearts	1988	CD	102	Pop	
3	241	Be true to me	The Edsels	1950's Rock & Roll collection	0	LP.	606	Rock and Roll	
3	242	Be-bop-a-lula	The Everly Brothers	So many years	1989	CD 2x	115	Rock and Roll	
3	243	Be-bop-a-lula	The Everly Brothers	Original greatest hits	1970	LP 2x	105	Rock and Roll	
3	244	Be-bop-a-lula	The Everly Brothers	The E.B Reunion Concert	1983	LP 2x	202	Rock and Roll	
3	245	Beatnik	Johnny and the Hurricanes	The very best of…………….	1975	LP.	202	Rock and Roll	
3	246	Beatnik fly	Johnny and the Hurricanes	Golden hits of ……………	1975	LP	206	Rock and Roll	
3	247	Beatnik fly	Johnny and the Hurricanes	Rock rules Rock	1977	LP.3x	607	Rock and Roll	
3	248	Beatnik fly	Johnny and the Hurricanes	Rock Revival	1978	LP. 2x	304	Rock and Roll	
3	249	Beautiful lady	Vicki Brown	About love and live	1990	CD.	113	Pop	
3	250	Beautiful people	Melanie	Do you love me	0	LP. 2x	107	Pop	
3	251	Because of you	"Instrumentaal, orkest=onbekend"	The Lively Years-'50s&'60s Nr5	0		505	Instr.Pop.50-6	
3	252	Because they're young	Duane Eddy	Rock rules Rock	1977	LP. 3x	201	Rock and Roll	
3	253	Because they're young	Duane Eddy	Country music Cav Memory Lane	1980	LP. 3x	403	country	
3	254	Bedroom reunion	Barbra Mandell	The country collection	1085	CD	103	country	
3	255	Before the next teardrop falls	Freddy Fender	When a man loves a woman	1989	CD	124	Rock and Roll	
3	256	Before the next teardrop falls	Freddy Fender	20 Greatest hits	0	LP	201	country	
3	257	Before the next teardrop falls	Freddie Fender 	20 Country hits 	1976	LP.	208	country	
3	258	Before the next teardrop falls	Freddie Fender 	40 Golden country hits	0	LP. 2x	102	country	
3	259	Before the next teardrop falls	Freddy Fender	Country's greatest hits col.4	1989	Cd. 4x	405	country	
3	260	Before the next teardrop falls	Freddy Fender	50 Golden country hits	1988	CD. 2x	202	country	
3	261	Before you take your love 	Guy Mitchel	Traveling shoes	1952	LP.	103	country	
3	262	Begin the beguine	Tony Marti	Command performance	1973	LP.	208	Pop	
3	263	Ben 	The Stars Unlimited Singers	Easy on Yourself	0	CD.	104	Pop	
3	264	"Bend me, Shape me"	American Breed	Rock Revival	1978	LP. 2x	212	Rock and Roll	
3	265	"Bend me, Shape me"	American Breed	Golden super oldies	1986	LP. 3x	503	Pop	
3	266	Berimbao	Las Machucambos	Los Machucambos 	0	LP.	201	Latin- Amerikaa	
3	267	Bernadine	Pat Boone	20 Love classics part II	1988	CD	113	pop	
3	268	Better than now	Phil Everly	Phil Everly	1983	LP	201	Pop	
3	269	Better than now	Phil Everly	Mistic line	1975	LP	201	Pop	
3	270	Between the juke box and the…	The Pentagons	1950's Rock & Roll collection	0	LP.	504	Rock and Roll	
3	271	Beyond the blue horizon	Frankie Laine	I'm gonna live 'till I die	0	LP	103	Country	
3	272	Beyond the shodow of a doubt	Jim Reeves	Have I told you lately that…	0	LP	105	country	
3	273	Big 'B'	The Shadows	Dance with The Shadows	1964	LP.	106	Rock and Roll	
3	274	Big Iron	Marty Robbins	20 Star studded country hits	0	LP.	107	country	
3	275	Big bad John	Jimmy Dean	Country times	1973	LP. 2x	106	Country	
3	276	Big bad John	Jimmy Dean	Golden super oldies	1986	LP. 3x	509	Pop	
3	277	Big bad John	Jimmy Dean	The great country love songs	1972	LP. 6x	903	Country	
3	278	Big bad John	Jimmy Dean	Memories	1975	LP. 2x	403	Pop	
3	279	Big bamboo	The Merrymen	Big bamboo	1989	CD	101	Pop	
3	280	Big boss man	Elvis Presley	Blu	0	LP 2x	303	Blue rythms	
3	281	Big man	Four Preps	Rock rules Rock	1977	LP.3x	410	Rock and Roll	
3	282	Big rock candy mountain	Dorsey Burnette	Country music Cav Memory Lane	1980	LP. 3x	204	Country	
3	283	Big stick of dynamite	Billie Jo Spears	Ode to Billie Jo	1985	LP	110	Country	
3	284	Bill Balie won't you please	Brenda Lee	The best of Brenda Lee	1982	LP	203	POP	
3	285	Billy Bayou	Jim Reeves	He'll have to go	0		106	Country	
3	286	Bimbo	Sonny James	40 Golden country hits	0	LP. 2x	308	Country	
3	287	Bimbo	Sonny James	20 Country legends	0	LP.	105	Country	
3	288	Bird dog 	The Everly Brothers	So many years	1989	CD 2x	103	Pop	
3	289	Bird dog 	The Everly Brothers	The very best of E.B.	0	LP	201	Pop	
3	290	Bird dog 	The Everly Brothers	Original greatest hits	1970	LP 2x	201	Pop	
3	291	Bird dog 	The Everly Brothers	"Bye, Bye Everly's"	1974	LP	106	Rock and Roll	
3	292	Bird dog 	The Everly Brothers	The E.B. Reunion Concert	1983	LP 2x	206	Pop	
3	293	Black and blue	Papa Bue's Viking Jazzband	Down by the riverside	1989	CD.	114	Jazz	
3	294	Blackland farmer 	Frankie Miller	20 Country and western hits	0	LP	109	Country	
3	295	Blackland farmer 	Frankie Miller	Country music Cav Memory Lane	1980	LP. 3x	502	country	
3	296	Blade runner	Ed Starink	The eye of the war	1989	CD.	116	Synthesizer	
3	297	Blade runner	Ed Starink	Synthesizer Hits	1989	CD.	112	Synthesizer	
3	298	Blame it on the time	Willie Nelson	50 Golden country hits	2988	CD. 2x	110	country	
3	299	Blanket on the ground 	Billie Jo Spears	What I've got in mind	1988	CD	108	Country	
3	300	Blanket on the ground 	Billie Jo Spears	The very best of Billie J.Sp.	1986	LP	101	Country	
3	301	Blanket on the ground 	Billie Jo Spears	Country life	1979	LP.	110	Country	
3	302	Blowin' in the wind	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'602 Nr2	0		205	Instr.Pop.50-6	
3	303	Blowing and sweeping	Ossipiv Ensemble	An evening with the Ossipov Es	0	LP.	104	Russ.Folks.mus	
3	304	Blowing away 	Billie Jo Spears	Midnight love	1987	CD	106	Country	
3	305	Blowing wild	Frankie Laine	20 Star studded country hits	1990	CD	107	Country	
3	306	Blue Bayou	Lynn Anderson	20 Golden hits	1990	CD	107	Country	
3	307	Blue Bayou	Billie Jo Spears	The very best of Billie J.Sp.	1986	LP	108	Country	
3	308	Blue Bayou	Lynn Anderson	Country's greatest hits vol.3	1989	CD. 4x	311	Country	
3	309	Blue Bayou	Lynn Anderson	The Country Superstars	0	CD.	112	Country	
3	310	Blue Canadian rockies	Slim Whitman	Tomorrow never comes	0	LP.	206	Country	
3	311	Blue Eyes	Feusto Papetti	Warm aanbevolen 1984	1984	cd	108	Pop	
3	312	Blue eyes crying in the rain	Willie Nelson	Warm aanbevolen 1984	1984	cd	103	Pop	
3	313	Blue Monday	Fats Domino	Do you love me	0	LP. 2x	306	Pop	
3	314	Blue Monday 88	Ed Starink	The eve of the war	1989	CD.	106	Synthesizer	
3	315	Blue moon	Earl Bostic	All his hits	1977	LP	106	Blues	
3	316	Blue moon	The Marcels	Rock rules Rock	1977	LP. 3x	108	Rock and Roll	
3	317	Blue moon	The Marcels	Great rock & roll love songs	1983	LP.	105	Rock and Roll	
3	318	Blue moon	The Marcels	Golden super oldies	1986	LP. 3x	306	Pop	
